,技能名稱,預設,主手裝備,副手裝備,身體裝備,效果編號,效果類別名稱,屬性名稱,屬性值,屬性追加,消耗MP,射程,類型,連擊,動作時間,詠唱/蓄力時間
,,,,,,-,list,text,一但進入戰鬥，即使未使用不遺餘力也會開始計算戰鬥經過時間。但若解除了過載狀態、脫離戰鬥或角色死亡，則戰鬥經過時間會重置。,,,,,,,
,,,,,,,,mark,過載,,,,,,,
,,,,,,-,list,text,因技能主動倒地之情況，復活時間固定300秒。,,,,,,,
21,,歷史紀錄,0,2024/04/18,,-,text,text,技能效果大改，刪除爆能與魔法炮的加速使用、改為依據戰鬥時間的最終傷害提升。,,,,,,,
,,,,,,1,,caption,消耗當前HP的10%、降低角色((30-總DEX÷25))%~((${100-SLv*5}-基礎DEX÷25))%的最大HP，立刻獲得5層法術/爆能的詠咒層數；若處於法術/魔法砲的充填狀態，立刻獲得![100%]的充填百分比。,,,,,,,
22,法術/雷射,預設,法杖,,,-,text,text,無須詠唱、可快速發動的魔法技能、發動後一定時間提升自身魔法貫穿。,,200,21,瞬發,可以放入連擊,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,stack,name,發動後剩餘MP(格數),,,,,,,
,,,,,,,,max,20,,,,,,,
,,,,,,,,min,0,,,,,,,
,,,,,,,,default,10,,,,,,,
,,,,,,,,id,1,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,
,,,,,,1,damage,constant,0,,,,,,,
,,,,,,,,multiplier,"75*SLv+Math.min(10,stack)*50",,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,,,ailment_name,異常（根據屬性）,,,,,,,
,,,,,,,,ailment_chance,20,,,,,,,
,,,,,,,,range_damage,0,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,stack_id,1,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,2,effect,duration,10,,,,,,,
,,,,,,,,magic_pierce,15,,,,,,,
,,,,,,-,tips,text,各屬性下附加的異常狀態,,,,,,,
,,,,,,-,group,size,1,,,,,,,
,,,,,,-,table,labels,"屬性,異常狀態",,,,,,,
,,,,,,-,row,cell.0,無屬性,,,,,,,
,,,,,,,,cell.1,#[停止],,,,,,,
,,,,,,-,row,cell.0,火屬性,,,,,,,
,,,,,,,,cell.1,#[出血],,,,,,,
,,,,,,-,row,cell.0,水屬性,,,,,,,
,,,,,,,,cell.1,#[眩暈],,,,,,,
,,,,,,-,row,cell.0,地屬性,,,,,,,
,,,,,,,,cell.1,#[沉默],,,,,,,
,,,,,,-,row,cell.0,風屬性,,,,,,,
,,,,,,,,cell.1,#[乏力],,,,,,,
,,,,,,-,row,cell.0,光屬性,,,,,,,
,,,,,,,,cell.1,#[閃光],,,,,,,
,,,,,,-,row,cell.0,暗屬性,,,,,,,
,,,,,,,,cell.1,#[詛咒],,,,,,,
,,,,,,,,,,,,,,,,
22,,非預設,魔導具,,,1,,ailment_chance,30,,,,,,,
,,,,,,2,,magic_pierce,10,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22,,非預設,單手劍,,,1,,ailment_chance,10,,,,,,,
,,,,,,2,,magic_pierce,10,,,,,,,
,,,,,,,,,,,,,,,,
23,咒法調律,預設,法杖,,,-,text,text,習得此技能後，可於EX技能中對魔法技能樹等級3以下的技能進行![調律]，可用![調律點數]為${SLv+2}。,,,,EX技能,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,list,text,所謂![調律]，可對指定技能附加額外效果，每個技能皆有兩種強化可選，若強化其中1項，需消耗![1調律點數]；若2項同時強化，需消耗![4調律點數]。,,,,,,,
,,,,,,-,list,text,調律效果對!S[附魔之咒]觸發釋放的技能無效。,,,,,,,
,,,,,,-,tips,text,所有可選的調律效果,,,,,,,
,,,,,,-,group,size,1,,,,,,,
,,,,,,-,table,labels,"技能,調律名稱,調律效果",,,,,,,
,,,,,,-,row,cell.0,法術/飛箭,,,,,,,
,,,,,,,,cell.1,![暴擊],,,,,,,
,,,,,,,,cell.2,此技能#[必定暴擊],,,,,,,
,,,,,,1,row,cell.1,![雙發射擊],,,,,,,
,,,,,,,,cell.2,每次發射2發箭矢(總次數不加倍，只是將發射所需時間減半)。,,,,,,,
,,,,,,-,row,cell.0,法術/長槍,,,,,,,
,,,,,,,,cell.1,![通常化],,,,,,,
,,,,,,,,cell.2,"變為一般慣性,且命中可回復MP。",,,,,,,
,,,,,,-,row,cell.1,![重試],,,,,,,
,,,,,,,,cell.2,未附加異常狀態時，再發動一次技能。,,,,,,,
,,,,,,-,row,cell.0,法術/障壁,,,,,,,
,,,,,,,,cell.1,![追蹤],,,,,,,
,,,,,,,,cell.2,傷害範圍從原地不動變為隨自身移動，但失去#[逼退]。,,,,,,,
,,,,,,-,row,cell.1,![延長],,,,,,,
,,,,,,,,cell.2,持續時間延長至3倍。,,,,,,,
,,,,,,-,row,cell.0,法術/魔法槍,,,,,,,
,,,,,,,,cell.1,![快速發射],,,,,,,
,,,,,,,,cell.2,發射間隔由3.5減至1.5秒。,,,,,,,
,,,,,,-,row,cell.1,![穿透],,,,,,,
,,,,,,,,cell.2,獲得與附加#[停止]機率相同%數的魔法貫穿。,,,,,,,
,,,,,,-,row,cell.0,法術/引爆,,,,,,,
,,,,,,,,cell.1,![單體化],,,,,,,
,,,,,,,,cell.2,變為單體攻擊並縮短詠唱時間。,,,,,,,
,,,,,,-,row,cell.1,![快速施咒],,,,,,,
,,,,,,,,cell.2,異常附加率降低，但詠唱時間縮短。,,,,,,,
,,,,,,-,row,cell.0,法術/衝擊波,,,,,,,
,,,,,,,,cell.1,![下招迅捷],,,,,,,
,,,,,,,,cell.2,下一個技能不再MP消耗減半，變為獲得迅速效果(行動速度+50%)。,,,,,,,
,,,,,,-,row,cell.1,![加強],,,,,,,
,,,,,,,,cell.2,提升威力、範圍、#[翻覆]附加率。,,,,,,,
,,,,,,-,row,cell.0,法術/暴風,,,,,,,
,,,,,,,,cell.1,![濃縮],,,,,,,
,,,,,,,,cell.2,攻擊範圍縮小至一半，但技能倍率+![200]。,,,,,,,
,,,,,,-,row,cell.1,![誘導],,,,,,,
,,,,,,,,cell.2,變為可追蹤、原本的持續時間轉為命中次數。,,,,,,,
,,,,,,-,row,cell.0,法術/光護,,,,,,,
,,,,,,,,cell.1,![反擊],,,,,,,
,,,,,,,,cell.2,受到傷害時也會發動。,,,,,,,
,,,,,,-,row,cell.1,![遠程延伸],,,,,,,
,,,,,,,,cell.2,消耗2倍層數，使技能反應範圍更廣。,,,,,,,
23,,非預設,魔導具,,,,,,,,,,,,,
23,,歷史紀錄,0,2025/04/24,,1,,cell.2,每次發射2發箭矢(相當於傷害加倍)。,,,,,,,
23,,歷史紀錄,1,2025/04/24,,1,,cell.2,每次發射2發箭矢(相當於傷害加倍)。,,,,,,,
,,,,,,,,,,,,,,,,
3,1,格鬥技能,,,,,,,,,,,,,,
0,重擊,預設,拳套,拳套,,-,proration,damage,physical,,100,2,瞬發,可以放入連擊,快,
,,,,,,1,damage,constant,25+SLv*5+$AGI*0.1,,,,,,,
,,,,,,,,multiplier,100+SLv*2,,,,,,,
,,,,,,,,multiplier.registlet,5*RLv,,,,,,,
,,,,,,,,ailment_name,膽怯,,,,,,,
,,,,,,,,ailment_chance,75+25*Math.floor((SLv-1)/5),,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
0,,非預設,,,,1,,constant,SLv*5,,,1,,,,
,,,,,,,,multiplier,50+SLv*2,,,,,,,
,,,,,,,,multiplier.registlet,0,,,,,,,
,,,,,,,,ailment_chance,50+25*Math.floor((SLv-1)/5),,,,,,,
1,痛擊,預設,拳套,拳套,,-,proration,damage,physical,,200,2,瞬發,可以放入連擊,一般,
,,,,,,1,damage,constant,50+10*SLv+$AGI*0.2,,,,,,,
,,,,,,,,multiplier,200+5*SLv+$AGI*0.2,,,,,,,
,,,,,,,,ailment_name,昏厥,,,,,,,
,,,,,,,,ailment_chance,Math.floor(SLv/6)*25+50+$AGI*0.1,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
1,,非預設,,,,1,,constant,10*SLv,,,1,,,,
,,,,,,,,multiplier,100+5*SLv,,,,,,,
,,,,,,,,ailment_chance,Math.floor(SLv/6)*25+25,,,,,,,
2,穿甲,預設,拳套,,,-,proration,damage,physical,,300,2,瞬發,可以放入連擊,快,
,,,,,,1,damage,constant,200+10*SLv+extra[0]*2-extra[1]*2,,,,,,,
,,,,,,,,multiplier,150+5*SLv+extra[0]*2-extra[1]*2,,,,,,,
,,,,,,,,ailment_name,降防,,,,,,,
,,,,,,,,ailment_chance,35+1.5*SLv,,,,,,,
,,,,,,,,ailment_chance.registlet,5*RLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,2,extra,physical_pierce,5*SLv,,,,,,,
,,,,,,-,extra,condition,#[降防]施加成功時,,,,,,,
,,,,,,,,caption,回復400MP。,,,,,,,
,,,,,,-,formula_extra,texts,"目標DEF, 目標Lv",,,,,,,
,,,,,,3,list,text,此技能公式中，「目標DEF*2 - 目標Lv*2」的部分，數值下限為-100、上限為500，且受物理抗性影響。,,,,,,,
2,,非預設,,拳套,,1,,ailment_chance,15+1.5*SLv,,,,,,,
2,,非預設,,,,1,,constant,50+10*SLv,,,1,,,,
,,,,,,,,multiplier,100+5*SLv,,,,,,,
,,,,,,,,ailment_chance,15+1.5*SLv,,,,,,,
,,,,,,2,,,,,,,,,,
,,,,,,3,,,,,,,,,,
2,,歷史紀錄,0,2022/12/15,,1,,ailment_chance,15+1.5*SLv,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,猛暴拳,預設,拳套,拳套,,-,proration,damage,physical,,400,2,瞬發,可以放入連擊,,
,,,,,,1,damage,constant,200+10*SLv,,,,,,,
,,,,,,,,multiplier,250+15*SLv,,,,,,,
,,,,,,,,ailment_name,乏力,,,,,,,
,,,,,,,,ailment_chance,70+3*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,額外對目標發動精確追擊。,,,,,,,
,,,,,,,,branch,精確追擊,,,,,,,
,,,,,,,,condition,目標處於#[降防]狀態時,,,,,,,
,,,,,,3,extra,physical_pierce.registlet,10*RLv,,,,,,,
,,,,,,,,physical_pierce,0,,,,,,,
,,,,,,2,damage,name,精確追擊,,,,,,,
,,,,,,,,constant,200+10*SLv,,,,,,,
,,,,,,,,multiplier,600+15*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,此傷害#[必定暴擊]。,,,,,,,
,,,,,,4,extra,physical_pierce.registlet,10*RLv,,,,,,,
,,,,,,,,physical_pierce,0,,,,,,,
3,,非預設,,,,1,,constant,100+10*SLv,,,1,,,,
,,,,,,,,multiplier,100+15*SLv,,,,,,,
,,,,,,,,ailment_chance,20+3*SLv,,,,,,,
,,,,,,2,,constant,100+10*SLv,,,,,,,
,,,,,,,,multiplier,100+15*SLv,,,,,,,
,,,,,,3,,,,,,,,,,
,,,,,,4,,,,,,,,,,
4,戰車猛擊,預設,拳套,拳套,,-,proration,damage,physical,,500,12,瞬發,可以放入連擊,,
,,,,,,1,damage,constant,300+20*SLv,,,,,,,
,,,,,,,,multiplier,1240+SLv+$BAGI,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,effective_area,line,,,,,,,
,,,,,,,,radius,0.75,,,,,,,
,,,,,,,,move_distance,12,,,,,,,
,,,,,,,,is_sprint,0,,,,,,,
,,,,,,,,ailment_name,畏懼,,,,,,,
,,,,,,,,ailment_chance,50+5*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,list,text,此技能對BOSS的#[畏懼]機率減半。,,,,,,,
,,,,,,2,,,,,,,,,,
4,,非預設,,,,1,,constant,50+20*SLv,,,,須蓄力,,,11-SLv
,,,,,,,,multiplier,990+SLv,,,,,,,
,,,,,,,,type,single,,,,,,,
,,,,,,,,effective_area,,,,,,,,
,,,,,,,,radius,,,,,,,,
,,,,,,,,move_distance,,,,,,,,
,,,,,,,,is_sprint,,,,,,,,
,,,,,,,,ailment_chance,5*SLv,,,,,,,
,,,,,,2,list,text,此技能蓄力時間不受詠唱速度影響。,,,,,,,
5,音速波動,預設,拳套,拳套,,-,proration,damage,physical,,100,8+Math.floor((SLv-1)/3)*4,瞬發,可以放入連擊,稍快,
,,,,,,1,damage,constant,5*SLv+25,,,,,,,
,,,,,,,,multiplier,100+2.5*SLv,,,,,,,
,,,,,,,,multiplier.registlet,5*RLv,,,,,,,
,,,,,,,,ailment_name,翻覆,,,,,,,
,,,,,,,,ailment_chance,50+5*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,92~52,,,,,,,
5,,非預設,,,,1,,multiplier,75+2.5*SLv,,,4+Math.floor((SLv-1)/3)*4,,,,
,,,,,,,,constant,5*SLv,,,,,,,
,,,,,,,,ailment_chance,5*SLv,,,,,,,
6,震地強襲,預設,拳套,拳套,,-,proration,damage,physical,,100,2,瞬發,可以放入連擊,一般,
,,,,,,1,damage,constant,25+SLv*5,,,,,,,
,,,,,,,,multiplier,125+2.5*SLv+$AGI*0.2,,,,,,,
,,,,,,,,multiplier.registlet,5*RLv,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,radius,2.5+Math.floor(SLv/3)*0.5,,,,,,,
,,,,,,,,end_position,self,,,,,,,
,,,,,,,,ailment_name,停止,,,,,,,
,,,,,,,,ailment_chance,60+4*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,~66,,,,,,,
,,,,,,-,text,text,此技能命中敵人時，獲得寧的效果。命中複數敵人時寧的效果可疊加。,,,,,,,
,,,,,,,,branch,寧,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,heal,type,hp,,,,,,,
,,,,,,,,extra_text,最大生命,,,,,,,
,,,,,,,,extra_value,0.05,,,,,,,
,,,,,,,,name,寧,,,,,,,
,,,,,,2,tips,text,單次技能最多恢復1000生命。,,,,,,,
6,,非預設,,,,1,,constant,SLv*5,,,1,,,,
,,,,,,,,multiplier,100+2.5*SLv,,,,,,,
,,,,,,,,multiplier.registlet,0,,,,,,,
,,,,,,,,radius,1+Math.floor(SLv/3)*0.5,,,,,,,
,,,,,,,,ailment_chance,10+4*SLv,,,,,,,
,,,,,,2,,text,單次技能最多恢復500生命。,,,,,,,
7,三段擊,預設,拳套,拳套,,-,proration,damage,physical,,300,3,瞬發,可以放入連擊,,
,,,,,,1,damage,constant,25+2*SLv,,,,,,,
,,,,,,,,multiplier,200+10*SLv,,,,,,,
,,,,,,,,frequency,3,,,,,,,
,,,,,,,,judgment,separate,,,,,,,
,,,,,,,,title,each,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,2,extra,critical_rate,50,,,,,,,
,,,,,,,,condition,第一段,,,,,,,
,,,,,,3,extra,critical_rate,50+SLv*2,,,,,,,
,,,,,,,,condition,第二段,,,,,,,
,,,,,,4,extra,critical_rate,50+SLv*4,,,,,,,
,,,,,,,,condition,第三段,,,,,,,
7,,非預設,,,,1,,multiplier,100+10*SLv,,,,,,,
,,,,,,,,constant,25+2*SLv,,,,,,,
,,,,,,2,,critical_rate,0,,,,,,,
,,,,,,3,,critical_rate,SLv*2,,,,,,,
,,,,,,4,,critical_rate,SLv*4,,,,,,,
8,疾襲,預設,拳套,,,-,proration,damage,physical,,400,2,瞬發,可以放入連擊,一般,
,,,,,,1,damage,constant,200+20*SLv,,,,,,,
,,,,,,,,multiplier,500+40*SLv+$BAGI*2,,,,,,,
,,,,,,,,frequency,4,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,2,effect,condition,hit,,,,,,,
,,,,,,,,motion_speed,Math.floor((SLv-1)/3)*2+4,,,,,,,
,,,,,,,,duration,10,,,,,,,
,,,,,,,,name,疾風,,,,,,,
,,,,,,-,tips,text,施放此技能時就算沒處於疾風狀態，此技能一樣會受疾風狀態加成。,,,,,,,
,,,,,,,,branch,疾風,,,,,,,
8,,非預設,,拳套,,2,,motion_speed,Math.floor((SLv-1)/3)+2,,,,,,,
8,,非預設,,,,1,,constant,20*SLv,,,1,,,,
,,,,,,,,multiplier,300+40*SLv,,,,,,,
,,,,,,2,,motion_speed,Math.floor((SLv-1)/3)+2,,,,,,,
9,格鬥要領,預設,拳套,,,-,passive,atk,Math.floor((SLv-3)/5)+2,%,,,被動,,,
,,,,,,,,weapon_atk,SLv*3,%,,,,,,
10,體術鍛鍊,預設,拳套,,,1,passive,aspd,SLv*10,,,,被動,,,
,,,,,,,,aspd,SLv,%,,,,,,
,,,,,,,,total_damage_A.displayTitle,格鬥技能樹中的攻擊技能，總傷害,,,,,,,
,,,,,,,,total_damage_A,SLv,,,,,,,
,,,,,,,,total_damage_A.conditionValue,$skill.id.startsWith('0-3-'),,,,,,,
10,,非預設,,拳套,,1,passive,aspd,0,,,,,,,
,,,,,,,,aspd,0,%,,,,,,
,,,,,,,,,,,,,,,,
11,經絡脈輪,預設,拳套,拳套,,-,effect,caption,給全隊所有成員施加經絡脈輪狀態。,,200,,須詠唱,可以放入連擊,,3
,,,,,,,,branch,經絡脈輪,,,,,,,
,,,,,,,,type,party,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,1,effect,type,none,,,,,,,
,,,,,,,,duration,20+SLv,,,,,,,
,,,,,,,,attack_mp_recovery,"SLv+Math.max(0,SLv-5)*2",,,,,,,
,,,,,,,,name,經絡脈輪,,,,,,,
,,,,,,2,extra,caption,恢復100MP。,,,,,,,
,,,,,,,,condition,獲得狀態時,,,,,,,
,,,,,,3,extra,caption,該次傷害減輕${30+2*SLv}%，並使此狀態提前結束。,,,,,,,
,,,,,,,,condition,受到任意類型傷害時,,,,,,,
,,,,,,,,mark,經絡脈輪,,,,,,,
,,,,,,-,list,text,除施法者自身，其餘受此效果影響的目標另獲得以下效果：觸發減傷的該次攻擊，傷害減少${$BVIT*2}點，此數值計算在DEF/MDEF作用後、其他技能減傷效果作用之前。,,,,,,,
,,,,,,,,,,,,,,,,
11,,非預設,,,,1,,duration,10+SLv,,,,,,,
,,,,,,2,,caption,恢復50MP。,,,,,,,
,,,,,,3,,caption,該次傷害減輕${10+2*SLv}%，並使此狀態提前結束。,,,,,,,
12,乘勝追擊,預設,拳套,,,-,passive,attack_mp_recovery,Math.floor((SLv+1)/2),,,,被動,,,
,,,,,,1,extra,caption,進行普通攻擊時，將有${SLv*5}%機率附帶追擊。,,,,,,,
,,,,,,,,branch,追擊,,,,,,,
,,,,,,2,damage,multiplier,SLv*5,,,,,,,
,,,,,,,,name,追擊,,,,,,,
,,,,,,,,range_damage,0,,,,,,,
,,,,,,3,proration,damage,physical,,,,,,,
,,,,,,,,proration,none,,,,,,,
,,,,,,4,list,text,追擊不會造成慣性、不會觸發MP回復、也不會觸發#[猛毒]的扣血效果。,,,,,,,
,,,,,,5,list,text,追擊之傷害不受體術鍛鍊、近/遠距離威力、拔刀傷害影響。,,,,,,,
,,,,,,,,skill,體術鍛鍊,,,,,,,
,,,,,,6,list,text,追擊不會發生暴擊、不會被阻擋。,,,,,,,
12,,非預設/and,空手,無裝備,,,,,,,,,,,,
12,,非預設,,拳套,,1,,,,,,,,,,
,,,,,,2,,,,,,,,,,
,,,,,,3,,,,,,,,,,
,,,,,,4,,,,,,,,,,
,,,,,,5,,,,,,,,,,
,,,,,,6,,,,,,,,,,
,,,,,,,,,,,,,,,,
13,猛力追擊,預設,拳套,,,1,passive,accuracy,2*SLv,%,,,被動,,,
,,,,,,,,skill,乘勝追擊,,,,,,,
,,,,,,2,extra,caption,使乘勝追擊的傷害提升((有效Atk×${5*SLv}))%；使乘勝追擊的傷害增加${SLv*5}%物理貫穿。,,,,,,,
,,,,,,,,skill,乘勝追擊,,,,,,,
13,,非預設/and,空手,無裝備,,1,,accuracy,SLv,%,,,,,,
,,,,,,2,,,,,,,,,,
13,,非預設,,拳套,,1,,accuracy,SLv,%,,,,,,
,,,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,,,
13,,歷史紀錄,0,2022/12/15,,-,text,text,技能效果更改。,,,,,,,
,,,,,,1,,accuracy,0,,,,,,,
,,,,,,2,,caption,使乘勝追擊的傷害提升((有效Atk×${5*SLv}))%；使乘勝追擊有${SLv}%的機率對目標賦予#[降防]![5]秒。,,,,,,,
13,,歷史紀錄,1,2022/12/15,,-,text,text,更新後副手拳套方可使用此技能、技能效果弱化。,,,,,,,
13,,歷史紀錄,2,2025/03/14,,-,text,text,更新後空手方可使用此技能。,,,,,,,
,,,,,,,,,,,,,,,,
14,滑行,預設,拳套,,,-,text,text,發動後，會如同縮地法一般，貼近敵人直至普通攻擊距離。,,100 ,8 ,瞬發,可以放入連擊,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,skill,縮地法,,,,,,,
,,,,,,-,tips,text,距離越近滑行所需時間越短，假如發動時已在普通攻擊距離內，則幾乎等於無動作時間。,,,,,,,
,,,,,,-,next,accuracy,SLv*SLv,,,,,,,
,,,,,,-,list,text,直到下一個技能發動前，命中提升的效果會一直存在。,,,,,,,
,,,,,,-,list,text,此處的普通攻擊距離不考慮強射的影響。,,,,,,,
,,,,,,,,skill,強射,,,,,,,
,,,,,,,,,,,,,,,,
14,,歷史紀錄,0,2020/04/16,,-,text,text,發動距離由6m變為8m。,,,,,,,
,,,,,,139,basic,mp_cost,0,,,,,,,
15,心像千手,預設,拳套,,,-,passive,caption,習得後，可在發動格鬥、粉碎者及部分技能的途中，使用手動閃躲。閃躲後原位置會出現一臨時分身代替你完成技能。,,,,被動,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,1,extra,condition,使用該效果後,,,,,,,
,,,,,,,,caption,在分身完成動作之後，須等待${10-SLv}秒，才能再次使用此技能。,,,,,,,
,,,,,,-,list,text,可觸發的技能包括：格鬥技能樹全體（除了滑行、化勁）；呼吸法、組合拳、神之手、碎地之技。,,,,,,,
,,,,,,,,skill,"滑行,化勁,呼吸法,組合拳,神之手",,,,,,,
,,,,,,2,list,text,以及魔力充填、戰吼、逆境怒吼、破風之勢、怪力亂神、移花接木。,,,,,,,
,,,,,,,,skill,"魔力充填,戰吼,逆境怒吼,破風之勢,怪力亂神,移花接木",,,,,,,
,,,,,,-,list,text,在連擊中使用該效果會導致連擊被中斷。,,,,,,,
,,,,,,,,,,,,,,,,
15,,非預設,,拳套,,1,,caption,在分身完成動作之後，須等待${20-SLv}秒，才能再次使用此技能。,,,,,,,
15,,歷史紀錄,0,2022/07/14,,-,text,text,可觸發的技能中新增了移花接木。,,,,,,,
,,,,,,2,list,text,以及魔力充填、戰吼、逆境怒吼、破風之勢、怪力亂神。,,,,,,,
15,,歷史紀錄,1,2022/07/14,,-,text,text,可觸發的技能中新增了移花接木。,,,,,,,
,,,,,,2,list,text,以及魔力充填、戰吼、逆境怒吼、破風之勢、怪力亂神。,,,,,,,
16,修羅氣場,預設,拳套,,,-,text,text,施放後獲得修羅氣場，狀態有效時進行一般攻擊後，會對目標進行白金毆打。狀態期間內每消耗100MP，入魔層數提升1層。,,0 ,,瞬發,不可放入連擊的第一招,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,branch,"修羅氣場,入魔層數,白金毆打",,,,,,,
,,,,,,1,effect,name,修羅氣場,,,,,,,
,,,,,,,,critical_rate,7.5*SLv,,,,,,,
,,,,,,,,total_damage_B.displayTitle,特定技能樹的最終傷害,,,,,,,
,,,,,,,,total_damage_B,30,,,,,,,
,,,,,,,,total_damage_B.conditionValue,$skill.id.startsWith('0-3-') && $skill.id.startsWith('0-7-') && $skill.id.startsWith('1-2-') && $skill.id.startsWith('1-6-') && $skill.id.startsWith('4-0-'),,,,,,,
,,,,,,,,total_skill_multiplier.displayTitle,其他技能的最終傷害,,,,,,,
,,,,,,,,total_skill_multiplier,10,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,skill_constant_extra.displayTitle,所有技能與普通攻擊的技能常數,,,,,,,
,,,,,,,,skill_constant_extra,20*SLv,,,,,,,
,,,,,,,,condition,直到再次使用本技能,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,8,extra,caption,獲得狀態時，自身#[無敵]2秒，最多持續至修羅狀態解除。,,,,,,,
,,,,,,,,mark,修羅,,,,,,,
,,,,,,7,extra,caption,攻擊時MP不再回復、格鬥、粉碎者技能樹以外的技能，技能基礎MP消耗增加![100]。,,,,,,,
,,,,,,,,condition,副作用,,,,,,,
,,,,,,,,mark,格鬥、粉碎者,,,,,,,
,,,,,,11,extra,condition,受到傷害時,,,,,,,
,,,,,,,,caption,消費![100]MP，將該傷害減輕((當前剩餘MP÷20))%、並使對該傷害的異常抗性+((當前剩餘MP÷10))%。（減傷上限50%，異抗上限100%，在本效果扣除MP之後計算）,,,,,,,
,,,,,,,,mark,異常抗性,,,,,,,
,,,,,,-,extra,condition,進行一般攻擊後,,,,,,,
,,,,,,,,caption,在滿足條件期間，對目標以每${0.25}秒一次的頻率，持續發動白金毆打。,,,,,,,
,,,,,,,,mark,白金毆打,,,,,,,
,,,,,,-,extra,condition,入魔層數超過20後,,,,,,,
,,,,,,,,caption,入魔層數超過20後，每獲得1層入魔層數，失去((最大HP×5%))的HP。（可以導致角色死亡）<br>入魔層數達到40，自身立刻死亡。,,,,,,,
,,,,,,6,list,text,本技能的#[異常抗性]提升，與裝備、角色能力的#[異常抗性]疊加。,,,,,,,
,,,,,,-,tips,text,最終傷害百分比加成，僅對特定技能樹(格鬥、粉碎者、刀術、暗殺、暗黑之力)有效。,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,list,text,對於設置類技能，只要發動時處在修羅氣場狀態，最終傷害與技能常數提升的效果於整個技能持續期間都有效。,,,,,,,
,,,,,,,,mark,修羅氣場,,,,,,,
,,,,,,-,list,text,本技能的增加100MP消耗，在#[MP消耗減半]的效果之後、連擊效果之前計算。,,,,,,,
,,,,,,-,tips,text,例如，在修羅狀態下使用以下連擊「任意起手技→衝擊波(補位)→重騎覺醒(迅速)」，則重騎覺醒消耗MP為100。,,,,,,,
,,,,,,-,list,text,白金毆打啟動後，在發生以下任一停止條件前都會持續攻擊。停止條件為：使用技能、進行阻擋或閃躲、離開有效範圍(約為3.5m)內。,,,,,,,
,,,,,,,,mark,白金毆打,,,,,,,
,,,,,,-,tips,text,某些被動效果，例如發動縮地法也算是使用技能。,,,,,,,
,,,,,,,,skill,縮地法,,,,,,,
,,,,,,-,list,text,一旦白金毆打停止，須再進行一次一般攻擊，才能重新開始。,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,3,damage,name,白金毆打,,,,,,,
,,,,,,,,constant,0,,,,,,,
,,,,,,,,multiplier,95+$BAGI/(24-SLv*2),,,,,,,
,,,,,,,,combo_rate,0,,,,,,,
,,,,,,,,range_damage,0,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,5,extra,caption,此傷害#[必定命中]。,,,,,,,
,,,,,,4,extra,condition,處於修羅氣息狀態時,,,,,,,
,,,,,,,,caption,每次攻擊回復((總攻擊MP回復×${SLv/10}))的MP。,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,,,proration,none,,,,,,,
,,,,,,-,list,text,白金毆打不受連擊效果、最終傷害及總傷害提升效果的影響，也不受修羅氣場自身的技能常數加成影響。,,,,,,,
,,,,,,,,mark,"白金毆打,修羅氣場",,,,,,,
