名稱 (Name),屬性分類,屬性名稱,屬性值 (Property Value),屬性值2
,,atk,5%,
,,aspd,75%,
,other,enhancer,草龍耶弗,
戈爾多,stats,long_range_damage,-15,
,,atk,7%,
,,aspd,80%,
,other,enhancer,放浪魔輪,
放浪魔輪．改,stats,long_range_damage,-16,
,,matk,5%,
,,cspd,75%,
,other,enhancer,放浪魔輪,
,obtain,name,放浪魔輪@7周年特殊競技場,
薄暮巨龍,stats,short_range_damage,4,
,,long_range_damage,4,
,,unsheathe_attack_multiplier,4,
巴瘋魔,stats,short_range_damage,6,
,,long_range_damage,6,
,,unsheathe_attack_multiplier,6,
,other,enhancer,薄暮巨龍,
深謀的青影,stats,short_range_damage,8,
,,long_range_damage,8,
,,unsheathe_attack_multiplier,8,
,,max_mp,-150,
,other,enhancer,巴瘋魔,
禁忌舞者,stats,short_range_damage,10,
,,long_range_damage,10,
,,unsheathe_attack_multiplier,10,
,,max_mp,-200,
,other,enhancer,深謀的青影,
夏翁,stats,critical_rate,15,
,,aggro,-15,
畢龍災比歐,stats,atk,5%,
,,critical_rate,15,
,,max_mp,100,
,,guard_break,5,
古拉,stats,atk,10%,
,,critical_rate,15,
,,max_mp,200,
,,guard_break,10,
,other,enhancer,畢龍災比歐,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,1,區域王,,
黄金骨,stats,aspd,300,
,,max_hp,-10%,
茲露咪,stats,aspd,450,
,,max_hp,-15%,
,other,enhancer,黃金骨,
賽提羅,stats,cspd,300,
,,max_mp,-150,
鬼熊蟲,stats,cspd,450,
,,max_mp,-200,
,other,enhancer,賽提羅,
巨型野豬,stats,short_range_damage,1,
,,max_hp,50,
,,max_mp,50,
大綿羊駝,stats,short_range_damage,6,
,,max_hp,300,
,,max_mp,300,
,other,enhancer,巨型野豬,
自走砲,stats,max_hp,500,
,,guard_power,5,
,,def,5%,
梵緹卡,stats,max_hp,5000,
,,guard_power,15,
,,def,10%,
,other,enhancer,自走砲,
奧布西亞,stats,max_hp,7000,
,,guard_power,15,
,,def,15%,
,,physical_resistance,10%,
,other,enhancer,梵緹卡,
鏽蝕騎士團長,stats,def,100,
,,mdef,100,
,,physical_barrier,500,
,,magical_barrier,500,
高貴梁龍,stats,def,150,
,,mdef,150,
,,physical_barrier,1500,
,,magical_barrier,1500,
,other,enhancer,鏽蝕騎士團長,
巨指馬其納,stats,max_hp,20%,
,,aggro,10,
,,long_range_damage,-10,
擔輪普原生素幼體,stats,max_hp,20%,
,,critical_rate,5,
,,aggro,15,
,,long_range_damage,-10,
,other,enhancer,巨指馬其納,
低音犛牛,stats,critical_damage,4,
,,dex,1%,
,,accuracy,-20%,
吉瓦,stats,matk,8%,
,,critical_damage,6,
,,dex,3%,
,,accuracy,-20%,
,other,enhancer,低音犛牛,
金拳角獸,stats,max_hp,2000,
,,fractional_barrier,10,
,,max_mp,-300,
內吉木之主,stats,max_hp,3000,
,,vit,2%,
,,critical_rate,10,
,,short_range_damage,3,knuckle
,,,,
,,,,
,,,,
1,2,小怪,,
,,,,
,,,,
1,3,活動王（定點）,,
,,,,
陽光波多姆,stats,aspd,300,
,,cspd,300,
,,max_hp,-5%,
,,max_mp,-75,
耀星波多姆,stats,aspd,900,
,,cspd,900,
,,max_hp,-10%,
,,max_mp,-150,
,other,enhancer,陽光波多姆,
巧克流漿,stats,cspd,500,
,,max_mp,200,
,,max_hp,-10%,
,obtain,name,巧克流漿@1,
巧克流漿II,stats,cspd,600,
,,max_mp,300,
,,max_hp,-15%,
,other,enhancer,巧克流漿,
,obtain,name,巧克流漿@2,
塞爾多納,stats,cspd,800,
,,max_mp,400,
,,max_hp,-20%,
,other,enhancer,巧克流漿II,
,obtain,name,掮客哥布林,
凝膠糖精,stats,aspd,500,
,,max_hp,10%,
,,max_mp,-200,
,obtain,name,凝膠糖精@1,
凝膠糖精II,stats,aspd,600,
,,max_hp,20%,
,,max_mp,-250,
,other,enhancer,凝膠糖精,
,obtain,name,凝膠糖精@2,
阿瑪爾貢,stats,aspd,800,
,,max_hp,30%,
,,max_mp,-300,
,other,enhancer,凝膠糖精II,
,obtain,name,掮客哥布林,
南瓜王,stats,attack_mp_recovery,3,
,,fire_resistance,2,
,,critical_damage,1,
賈莉若,stats,attack_mp_recovery,6,
,,fire_resistance,4,
,,critical_damage,2,
,other,enhancer,南瓜王,
柔艾,stats,attack_mp_recovery,9,
,,fire_resistance,6,
,,critical_damage,3,
,other,enhancer,賈莉若,
薩斯,stats,attack_mp_recovery,12,
,,fire_resistance,8,
,,critical_damage,4,
,other,enhancer,柔艾,
聖萬狼,stats,attack_mp_recovery,15,
,,fire_resistance,10,
,,critical_damage,5,
,other,enhancer,薩斯,
愛普瑪布,stats,attack_mp_recovery,18,
,,fire_resistance,12,
,,critical_damage,6,
,other,enhancer,聖萬狼,
幽靈兵甲Ⅱ,stats,critical_rate,10,
,,accuracy,30,
,,max_mp,200,
,,cspd,400,
,obtain,name,幽靈兵甲@高難普通,
黏液諾瓦,stats,critical_rate,20,
,,accuracy,60,
,,max_mp,300,
,,cspd,600,
,other,enhancer,幽靈兵甲Ⅱ,
八代紅豆媽,stats,critical_rate,10,
,,physical_resistance,5,
,,magic_resistance,5,
,,reduce_dmg_bullet,10,
愛利貝,stats,magic_pierce,10,
,,max_hp,12%,
,,aggro,-15,
甜納許,stats,matk,3%,
,,magic_pierce,10,
,,max_hp,18%,
,,aggro,-15,
,other,enhancer,愛利貝,
愛亞克,stats,matk,10%,
,,magic_pierce,10,
,,max_hp,24%,
,,aggro,-15,
,,motion_speed,1,staff
,other,enhancer,甜納許,
蜜愛麗,stats,magic_pierce,10,
,,critical_rate,20%,
,,aspd,400,
,,cspd,400,
,,max_hp,-20%,
大尺碼佩魯魯,stats,short_range_damage,10%,
,,max_hp,30%,
,,critical_rate,50%,
,,max_mp,-100,
,,physical_pierce,-10,body.dodge
,,,,
手工餅乾,stats,physical_pierce,10,
,,max_hp,12%,
,,aggro,-15,
糖明凰,stats,atk,3%,
,,physical_pierce,10,
,,max_hp,18%,
,,aggro,-15,
,other,enhancer,手工餅乾,
哥布林·祖庫托,stats,atk,10%,
,,physical_pierce,10,
,,max_hp,24%,
,,aggro,-15,
,,motion_speed,1,sub.shield
,other,enhancer,糖明凰,
邪惡雷菲娜,stats,atk,8%,
,,physical_pierce,10,
,,critical_rate,12,
,,matk,-4%,
,,physical_resistance,-20,
,,physical_resistance,24,body.defense
,,,,
海騎士,stats,matk,6%,
,,critical_damage,6,
,,max_hp,1000,
,,aggro,10,body.defense
海底遺跡的怪物,stats,matk,8%,
,,critical_damage,8,
,,max_hp,1000,
,,aggro,20,body.defense
,other,enhancer,海騎士,
,obtain,name,海騎士@高難度,
福巴勒斯,stats,long_range_damage,9,
,,max_mp,200,
,,dodge,10%,
,,absolute_dodge,5,
,,short_range_damage,9,bowgun
納露米娜,stats,matk,4%,
,,long_range_damage,3,
,,cspd,20%,
,,aggro,-10,
八代紅豆媽Ⅱ,stats,matk,5%,
,,long_range_damage,3,
,,cspd,20%,
,,aggro,-10,
,other,enhancer,納露米娜,
,obtain,name,†闇王†,
八代紅豆爸,stats,atk,4%,
,,short_range_damage,3,
,,aspd,20%,
,,aggro,-10,
,obtain,name,納露米娜,
†闇王†,stats,atk,5%,
,,short_range_damage,3,
,,aspd,20%,
,,aggro,-10,
,other,enhancer,八代紅豆爸,
,obtain,name,†闇王†,
G伊科諾斯,stats,max_hp,1000,
,,reduce_dmg_charge,10,
,obtain,name,黃金伊科諾斯,
幸運蛙,stats,max_hp,2000,
,,reduce_dmg_charge,10,
,,reduce_dmg_straight_line,10,
,other,enhancer,G伊科諾斯,
金寶石,stats,max_hp,3000,
,,reduce_dmg_charge,10,
,,reduce_dmg_straight_line,10,
,,reduce_player_epicenter,10,
,other,enhancer,幸運蛙,
金大拳,stats,max_hp,5000,
,,reduce_dmg_charge,10,
,,reduce_dmg_straight_line,10,
,,reduce_player_epicenter,10,
,,reduce_dmg_foe_epicenter,10,
,other,enhancer,金寶石,
鬥牛王,stats,aggro,-20,
,obtain,name,枕頭北側@鬥牛王,
枕頭北側,stats,unsheathe_attack_multiplier,8,
,,critical_rate,4,
,,max_hp,2000,
,,revive_time,20,
,other,enhancer,鬥牛王,
枕頭北側II,stats,unsheathe_attack_multiplier,12,
,,critical_rate,6,
,,max_hp,3000,
,,revive_time,30,
,other,enhancer,枕頭北側,
王之鬥牛王,stats,short_range_damage,8,
,,accuracy,40,
,,max_mp,200,
,,max_hp,-20%,
,other,enhancer,鬥牛王,
,obtain,name,枕頭北側@鬥牛王,
王之鬥牛王II,stats,short_range_damage,12,
,,accuracy,50,
,,max_mp,200,
,,max_hp,-30%,
,other,enhancer,王之鬥牛王,
,obtain,name,枕頭北側@鬥牛王,
絲岩枕頭,stats,critical_rate,50%,
,,physical_resistance,5%,
,,magic_resistance,5%,
,,critical_rate,-5,
,other,enhancer,鬥牛王,
,obtain,name,枕頭北側@絲岩枕頭,
魔力費雷西亞,stats,matk,9%,
,,int,3%,
,,stability,6,
,,guard_break,10,staff
,,reduce_dmg_bowling,20,magic_device
吉普莉爾I,stats,short_range_damage,3%,
,,long_range_damage,5%,
,,max_mp,100,
,,critical_rate,8,
,,anticipate,1%,
,,natural_mp_regen,2,
,,natural_mp_regen,4%,
,obtain,name,吉普莉爾（40、90）,
吉普莉爾II,stats,short_range_damage,6%,
,,long_range_damage,8%,
,,max_mp,100,
,,critical_rate,12,
,,anticipate,2%,
,,natural_mp_regen,4,
,,natural_mp_regen,8%,
,obtain,name,吉普莉爾（140、190）,
,other,enhancer,吉普莉爾I,
吉普莉爾III,stats,short_range_damage,9%,
,,long_range_damage,11%,
,,max_mp,100,
,,critical_rate,16,
,,anticipate,3%,
,,natural_mp_regen,6,
,,natural_mp_regen,12%,
,obtain,name,吉普莉爾（240）,
,other,enhancer,吉普莉爾II,
卡斯蒂莉亞,stats,short_range_damage,12%,
,,long_range_damage,6%,
,,accuracy,10%,
,,aspd,-900,
,,motion_speed,5%,magic_device
,,magic_pierce,10%,sub.ninjutsu_scroll
,obtain,name,卡斯蒂莉亞,
魔影騎屍,stats,atk,6%,
,,short_range_damage,6%,
,,stability,6%,
,,max_mp,-100,
,,light_resistance,-10%,
,,revive_time,10%,
,,,,
,,,,
,,,,
,,,,
巨型波雞,stats,drop_rate,1,
佩羅,stats,drop_rate,1,
紅白小野豬,stats,drop_rate,1,
麻糬鼠,stats,drop_rate,1,
阿牛牛,stats,drop_rate,1,
呼嚕咪,stats,drop_rate,1,
跳跳兔,stats,drop_rate,1,
天籟龍,stats,drop_rate,1,
野槌巳蛇,stats,drop_rate,1,
波尼耶,stats,drop_rate,1,
,,,,
,,,,
,,,,
,,,,
1,4,活動王（區域）,,
鯊魚波多姆,stats,critical_damage,6,
,,aspd,900,
,,max_hp,-30%,
,other,enhancer,茲露咪,
,,,,
1,5,活動王（小怪）,,
,,,,
,,,,
0,3,特殊裝備,,
1,0,定點王,,
詭譎的結晶,stats,attack_mp_recovery,5,
熱帶夢貘,stats,attack_mp_recovery,10,
,other,enhancer,詭譎的結晶,
神奇結晶,stats,attack_mp_recovery,5,
,,unsheathe_attack_multiplier,5,body.dodge
,,stability,5,body.defense
,,attack_mp_recovery,5,sub.1h_sword
,other,enhancer,詭譎的結晶,
,obtain,name,神奇結晶@7周年特殊競技場,
甜點精,stats,attack_mp_recovery,15,
,,accuracy,25,
,other,enhancer,熱帶夢貘,
席卡諾加米,stats,short_range_damage,5,
,,attack_mp_recovery,20,
,,accuracy,50,
,,long_range_damage,5,halberd
,other,enhancer,甜點精,
黑利古希,stats,attack_mp_recovery,20,
,,aspd,300,
,,ailment_resistance,10%,
,,aggro,40%,
,,barrier_cooldown,10%,body.dodge
,,fractional_barrier,10%,body.defense
,obtain,name,詭譎的結晶@黑利古希,
黏液怪,stats,atk,2%,
,,matk,2%,
,,def,-2%,
,,mdef,-2%,
妖精魔獸拉瓦達,stats,atk,4%,
,,matk,4%,
,,def,-4%,
,,mdef,-4%,
,other,enhancer,黏液怪,
多米納雷多爾,stats,atk,8%,
,,matk,8%,
,,aspd,20%,
,,reduce_dmg_floor,20%,
,other,enhancer,妖精魔獸拉瓦達,
葛瓦,stats,unsheathe_attack,100,
,,evasion_regenerate,6,
,,agi,3%,
魔晶砲手,stats,critical_rate,5,
,,weapon_atk,10%,
,,accuracy,15%,
,,max_mp,-100,
齊爾布茲,stats,critical_rate,8,
,,weapon_atk,12%,
,,accuracy,16%,
,,max_mp,-150,
,other,enhancer,魔晶砲手,
兵龍達魯巴,stats,critical_rate,11,
,,weapon_atk,14%,
,,accuracy,17%,
,,max_mp,-200,
,other,enhancer,齊爾布茲,
薇芮娜,stats,max_mp,500,
,,atk,1%,
,,matk,1%,
,,stability,2,
薇芮娜Ⅱ,stats,max_mp,600,
,,atk,2%,
,,matk,2%,
,,stability,3,
,other,enhancer,薇芮娜,
,obtain,name,薇芮娜．超寇珥連生體,
修米達,stats,max_mp,700,
,,atk,4%,
,,matk,4%,
,,stability,4%,
,other,enhancer,薇芮娜Ⅱ,
結晶泰坦,stats,max_hp,1000,
,,max_hp,10%,
,,fractional_barrier,10%,
麻吧喞,stats,max_hp,3000,
,,max_hp,20%,
,,fractional_barrier,15%,
,,atk_up_vit,25%,
,other,enhancer,結晶泰坦,
澤雷薩烏迦,stats,critical_rate,15,
,,physical_resistance,5,
,,magic_resistance,5,
,,item_cooldown,-1,
澤雷薩烏迦II,stats,critical_rate,20,
,,physical_resistance,10,
,,magic_resistance,10,
,,item_cooldown,-1,
,other,enhancer,澤雷薩烏迦,
,,,,
,,,,
,,,,
,,,,
1,1,區域王,,
黑魔菇,stats,atk,1%,
,,matk,1%,
,,motion_speed,1,
塔圖羅基特,stats,atk,6%,
,,matk,6%,
,,motion_speed,2,
,other,enhancer,黑魔菇,
石動魔兵,stats,guard_regenerate,4,
,,aggro,8,
,,atk,-6%,
噬人蠍獅,stats,guard_regenerate,5,
,,aggro,12,
,,atk,-4%,
,other,enhancer,石動魔兵,
小浣熊,stats,evasion_regenerate,4,
,,aggro,8,
,,matk,-6%,
閃靈紳士,stats,attack_mp_recovery,3,
,,atk,1%,
,,matk,1%,
,,critical_damage,1%,
死靈,stats,attack_mp_recovery,4,
,,atk,2%,
,,matk,2%,
,,critical_damage,2%,
,other,enhancer,閃靈紳士,
老嫗,stats,matk,100,
,,cspd,-1000,
嚴寒雪怪,stats,atk,100,
,,aspd,-1000,
汙濁泥怪,stats,additional_magic,50,
,,matk,1%,
,,aspd,250,
兇暴花魔,stats,additional_meele,50,
,,atk,1%,
,,aspd,250,
兇暴花魔．G,stats,additional_meele,75%,
,,additional_magic,75%,
,,additional_meele,25%,1h_sword
,,additional_magic,25%,magic_device
,other,enhancer,兇暴花魔,
,obtain,name,九周年EX,
沙盜團首領,stats,evasion_regenerate,8,
,,aggro,16,
,,matk,-5%,
,other,enhancer,小浣熊,
伊貢,stats,evasion_regenerate,12,
,,aggro,24,
,,matk,-4%,
,other,enhancer,沙盜團首領,
,,,,
噴出岩,stats,max_hp,1000,
,,max_mp,100,
,,fire_resistance,20,
,,stronger_against_fire,5,
月霞喵,stats,attack_mp_recovery,5,
,,vit,5%,
,,ailment_resistance,5,
,,aggro,15,sub.shield
圖雷茲,stats,guard_break,10%,
,,physical_pierce,10%,
,,stun_unavailable,1,
,,guard_regenerate,25%,2h_sword
,,guard_power,25%,2h_sword
沃達蕾螈,stats,anticipate,5%,
,,physical_resistance,5%,
,,magic_resistance,5%,
,,critical_damage,-150,
,,,,
,,,,
,,,,
,,,,
1,2,小怪,,
,,,,
,,,,
1,3,活動王（定點）,,
寄生樹,stats,attack_mp_recovery,3,
,,max_hp,100,
寄生邪凰,stats,attack_mp_recovery,6,
,,max_hp,1000,
,other,enhancer,寄生樹,
魔融迦姆,stats,attack_mp_recovery,9,
,,max_hp,2000,
,other,enhancer,寄生邪凰,
結晶死神,stats,attack_mp_recovery,11,
,,max_hp,3000,
,,stability,1,
,other,enhancer,魔融迦姆,
布利塔,stats,attack_mp_recovery,15,
,,max_hp,5000,
,,stability,2,
,other,enhancer,結晶死神,
龍魔女,stats,critical_damage,5%,
,,attack_mp_recovery,-100%,
,obtain,name,賈莉若@地獄,
,,,,
微煎明太子,stats,max_mp,300,
,,short_range_damage,2,
,,fire_resistance,1,
,,matk,-10%,
,,reduce_dmg_floor,-20,
魔偶,stats,attack_mp_recovery,10,
,,dodge,20,
,,dodge,10%,
,,absolute_dodge,5,
費莉妍,stats,max_mp,300,
,,accuracy,20,
,,accuracy,10%,
,,absolute_accuracy,5,
邪惡雷菲娜改,stats,max_mp,500,
,,accuracy,50,
,,accuracy,20%,
,,absolute_accuracy,10,
,other,enhancer,費莉妍,
告死亡靈,stats,unsheathe_attack_multiplier,10,
,,accuracy,15%,
,,aggro,-20,
,obtain,name,幽靈兵甲@高難地獄,
龍．伏爾加,stats,critical_rate,20%,
,,aspd,1000,
,,cspd,-80%,
愛德華茲,stats,critical_rate,40%,
,,aspd,1100,
,,motion_speed,5%,
,,cspd,-70%,
,other,enhancer,龍．伏爾加,
波多姆特,stats,max_mp,400,
,,aggro,-30,
,,neutral_resistance,20,
波多姆特II,stats,max_mp,400,
,,motion_speed,1,
,,aggro,-30,
,,neutral_resistance,25,
,other,enhancer,波多姆特,
波多姆特III,stats,max_mp,500,
,,motion_speed,2,
,,aggro,-30,
,,neutral_resistance,30,
,other,enhancer,波多姆特II,
暗之魔兵長withB,stats,short_range_damage,3,
,,max_hp,3000,
,,unsheathe_attack_multiplier,3,
,,max_mp,-150,
,,fire_resistance,10,
,,water_resistance,10,
,,wind_resistance,10,
,,earth_resistance,15,
,obtain,name,佐魯邦@馬奇史東之路5,
星之魔導士,stats,matk,9%,
,,cspd,9%,
,,anticipate,9,
,,aggro,-9,staff
,,aggro,9,sub.shield
,obtain,name,奈亞達,
幽森的黑巫女,stats,cspd,20%,
,,evasion_regenerate,10%,
,,magic_pierce,5%,
,,max_mp,-300,
,,stability,5%,sub.shield
,,atk,-10%,sub.shield
,obtain,name,席比拉雷斯,
黏液諾瓦II,stats,atk,5%,
,,unsheathe_attack_multiplier,5%,
,,physical_pierce,5%,
,,max_mp,150,
,,natural_mp_regen,15%,
,,reduce_dmg_bowling,15%,
,,revive_time,60%,
,obtain,name,黏液諾瓦@地獄,
掮客哥布林,stats,max_mp,300,
,,long_range_damage,3,
,,dex,3%,
,,long_range_damage,5,sub.arrow
,,additional_meele,50,sub.dagger
,,aggro,25,sub.shield
茄龍歐瓦比昂,stats,max_mp,300,
,,short_range_damage,4%,
,,aspd,500,
,,long_range_damage,-12%,
,,unsheathe_attack_multiplier,5,sub.ninjutsu_scroll
,,critical_rate,5,sub.ninjutsu_scroll
叫聲的禍影,stats,max_mp,300,
,,critical_rate,20%,
,,cspd,1000,
,,def,-40%,
海晶龍,stats,short_range_damage,2,
,,stability,2,
,,physical_resistance,3,
,,magic_resistance,3,
,,max_mp,-100,
,,ailment_resistance,5,sub.shield
深海晶怪獸,stats,short_range_damage,4,
,,stability,4,
,,physical_resistance,6,
,,magic_resistance,6,
,,max_mp,-200,
,,ailment_resistance,5,sub.shield
,other,enhancer,海晶龍,
機械神梅普露,stats,max_mp,200,
,,short_range_damage,10%,
,,physical_resistance,10%,
,,magic_resistance,10%,
,,ailment_resistance,5%,
,,fractional_barrier,5%,
,,physical_resistance,5%,body.defense
,,magic_resistance,5%,body.defense
,,fractional_barrier,10%,body.defense
奧羅拜德,stats,physical_resistance,10%,
,,magic_resistance,10%,
,,dark_resistance,20%,
,,aggro,20%,
澤普菲爾,stats,max_mp,300%,
,,critical_rate,15,
,,water_resistance,20%,
,,stronger_against_water,5%,
,obtain,name,霍夫保衛戰,
,,,,
,,,,
,,,,
1,4,活動王（區域）,,
黃金波多姆,stats,drop_rate,1,
阿喵蝦隊長,stats,max_hp,1000,
,,max_mp,100,
,,attack_mp_recovery,10,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,5,活動王（小怪）,,
魯札特,stats,critical_rate,10,
,,dodge,10,
,obtain,name,夏日活動任務獎勵,
干支的祝福,stats,exp_rate,10%,
,,atk,10,
,,matk,10,
,,accuracy,10,
,,critical_rate,10,
,,def,100,
,,mdef,100,
,,aspd,100,
,,cspd,100,
,extra,caption,不可交易,
,obtain,name,新年參拜,
,,,,
,,,,
0,4,通用,,
1,0,定點王,,
森林巨狼,stats,dodge,6,
,,evasion_regenerate,2,
哥布林大哥,stats,atk,2%,
,,aggro,5,
,,critical_rate,-1,
哥布林老大,stats,atk,1%,
,,critical_rate,2%,
,,accuracy,-4,
遺跡魔像,stats,max_hp,200,
,,mdef,5%,
,,magic_resistance,1,
亞思托,stats,evasion_regenerate,3,
,,magic_resistance,1,
,,def,-10%,
科隆老大,stats,max_hp,70,
,,max_mp,30,
巨大奇蹟姆,stats,max_hp,700,
,,max_mp,300,
,,physical_pierce,1%,
,,magic_pierce,1%,
,other,enhancer,科隆老大,
,obtain,name,九周年EX,
幽靈兵甲,stats,max_mp,150,
,,atk,-1%,
,,matk,-1%,
沙羅曼達,stats,max_mp,200,
,,atk,1%,
,,matk,1%,
,other,enhancer,幽靈兵甲,
布拉米斯,stats,max_mp,250,
,,atk,3%,
,,matk,3%,
,other,enhancer,沙羅曼達,
米諾陶斯,stats,max_hp,5%,
,,aspd,10%,
迪賽爾蠻龍,stats,atk,1%,
,,matk,1%,
,,max_mp,-50,
約克,stats,atk,4%,
,,matk,4%,
,,attack_mp_recovery,1,
,,max_mp,-75,
,other,enhancer,迪賽爾蠻龍,
休斯古巨獸,stats,atk,6%,
,,matk,6%,
,,attack_mp_recovery,2,
,,max_mp,-100,
,other,enhancer,約克,
黑影,stats,atk,8%,
,,matk,8%,
,,attack_mp_recovery,3,
,,max_mp,-150,
,other,enhancer,休斯古巨獸,
魯托塞薩,stats,atk,10%,
,,matk,10%,
,,attack_mp_recovery,4,
,,max_mp,-200,
,other,enhancer,黑影,
毛咕嚕,stats,max_hp,5%,
,,cspd,10%,
焰狼火各,stats,str,3,
,,long_range_damage,2,
,,magic_resistance,-4,
大克奧爾龍,stats,str,6,
,,short_range_damage,3,
,,long_range_damage,6,
,,magic_resistance,-12,
,other,enhancer,焰狼火各,
馬維茲,stats,max_mp,150,
,,critical_rate,2,
,,accuracy,-4%,
蒙面戰士,stats,attack_mp_recovery,2,
,,atk,1%,
,,matk,1%,
,,accuracy,-3,
,,max_hp,-3%,
奴雷德斯,stats,atk,3%,
,,matk,3%,
,,aspd,-150,
,,cspd,-150,
重裝魔偶,stats,atk,5%,
,,matk,5%,
,,aspd,-175,
,,cspd,-175,
,other,enhancer,奴雷德斯,
護衛魔像,stats,atk,9%,
,,matk,9%,
,,aspd,-225,
,,cspd,-225,
,other,enhancer,重裝魔偶,
 毗奴古爾迦,stats,atk,11%,
,,matk,11%,
,,aspd,-300,
,,cspd,-300,
,other,enhancer,護衛魔像,
奴德雷斯,stats,atk,2%,
,,matk,2%,
,,aspd,150,
,,cspd,150,
,other,enhancer,奴雷德斯,
魔形機殼,stats,max_hp,300,
,,matk,3%,
,,long_range_damage,2,
,,natural_mp_regen,-10%,
,,physical_resistance,-20,
英薩聶奧,stats,weapon_atk,10,
,,fractional_barrier,3,
,,guard_regenerate,1,
,,attack_mp_recovery,-1,
紅晶魔蛛,stats,max_hp,400,
,,max_mp,200,
,,aggro,1,
炎咕嚕,stats,max_hp,600,
,,max_mp,300,
,,aggro,2,
,other,enhancer,紅晶魔蛛,
布拉瑪,stats,max_hp,800,
,,max_mp,400,
,,aggro,3%,
,,aggro,3%,body.defense
,other,enhancer,炎咕嚕,
佛拉布喇,stats,short_range_damage,7,
,,accuracy,3%,
,,max_mp,200,
,,max_hp,-100,
,,critical_rate,-5,
尉龍魯迪斯,stats,short_range_damage,9,
,,accuracy,5%,
,,max_mp,200,
,,max_hp,-300,
,,critical_rate,-7,
,other,enhancer,佛拉布喇,
焦科,stats,short_range_damage,12,
,,accuracy,7%,
,,max_mp,200,
,,max_hp,-500,
,,critical_rate,-9,
,other,enhancer,尉龍魯迪斯,
,,,,
,,,,
,,,,
,,,,
1,1,區域王,,
銀色洛爾,stats,attack_mp_recovery,4,
,,max_hp,-8%,
深紅魔蛙,stats,agi,3,
,,dodge,3,
,,evasion_regenerate,3,
,,critical_rate,-9,
阿米巴馬其納,stats,agi,6,
,,dodge,5,
,,evasion_regenerate,4,
,,critical_rate,-6,
,other,enhancer,深紅魔蛙,
大果怪,stats,ailment_resistance,1,
,,physical_resistance,1,
,,magic_resistance,1,
熾天馬其納,stats,ailment_resistance,3,
,,physical_resistance,3,
,,magic_resistance,3,
,other,enhancer,大果怪,
麗瑪希娜,stats,ailment_resistance,5,
,,physical_resistance,5,
,,magic_resistance,5,
,other,enhancer,熾天馬其納,
巨型兵,stats,atk,1%,
,,critical_damage,1,
,,str,1%,
,,accuracy,-10%,
,,critical_rate,-10%,
無頭惡魔處刑者,stats,atk,2%,
,,critical_damage,2,
,,str,2%,
,,accuracy,-10%,
,,critical_rate,-10%,
,other,enhancer,巨型兵,
拉加布拉索,stats,atk,3%,
,,critical_damage,3,
,,str,3%,
,,accuracy,-10%,
,,critical_rate,-10%,
,other,enhancer,無頭惡魔處刑者,
幽靈王,stats,guard_regenerate,2,
,,guard_power,2,
,,evasion_regenerate,2,
,,ailment_resistance,-6,
貝貝蠟,stats,guard_regenerate,5%,
,,guard_power,5%,
,,evasion_regenerate,5%,
,,ailment_resistance,-15%,
,,motion_speed,3%,
,other,enhancer,幽靈王,
金屬刺蠍,stats,atk,2%,
,,critical_damage,3,
,,motion_speed,-1,
,,magic_resistance,-10,
激進派專業兵長,stats,atk,3%,
,,critical_damage,4,
,,motion_speed,-2,
,,magic_resistance,-15,
,other,enhancer,金屬刺蠍,
變異幽靈牛,stats,atk,6%,
,,critical_damage,8,
,,motion_speed,-1,
,,magic_resistance,-15,
,other,enhancer,激進派專業兵長,
枯飛葉,stats,atk,9%,
,,critical_damage,12,
,,motion_speed,0%,
,,magic_resistance,-15%,
,other,enhancer,變異幽靈牛,
奧狄隆馬其納,stats,unsheathe_attack_multiplier,7,
,,dodge,-5%,
,,evasion_regenerate,-5,
,,unsheathe_attack_multiplier,3,katana
壓釘機,stats,unsheathe_attack_multiplier,9,
,,dodge,-5%,
,,evasion_regenerate,-3,
,,max_mp,-50,
,,unsheathe_attack_multiplier,3,katana
,other,enhancer,奧狄隆馬其納,
百合冠,stats,unsheathe_attack_multiplier,11,
,,dodge,-5%,
,,max_mp,-100,
,,unsheathe_attack_multiplier,3,katana
,other,enhancer,壓釘機,
怪蜥狂信者,stats,critical_damage,3,
,,reduce_player_epicenter,-3,
,,reduce_dmg_foe_epicenter,-3,
礦角龍,stats,critical_damage,9,
,,reduce_player_epicenter,-3,
,,reduce_dmg_foe_epicenter,-3,
,other,enhancer,怪蜥狂信者,
米斯魯那大山貓,stats,short_range_damage,3,
,,stability,3,
,,evasion_regenerate,3,
,,long_range_damage,-9,
窟蝠尼亞,stats,short_range_damage,4,
,,stability,4,
,,evasion_regenerate,4,
,,long_range_damage,-12,
,other,enhancer,米斯魯那大山貓,
寶石獸,stats,max_hp,1000,
,,reflect,10,
,,dodge,-10%,
雷諾萊犀,stats,max_hp,10%,
,,aspd,15%,
,,atk,5%,
,other,enhancer,米諾陶斯,
暴獸利古希,stats,max_hp,15%,
,,aspd,20%,
,,atk,10%,
,,max_mp,-100%,
,other,enhancer,雷諾萊犀,
蓋蜥蠍,stats,critical_rate,10%,
,,stability,2,
,,short_range_damage,-1,
,,,,
,,,,
,,,,
1,2,活動王（定點）,,
