id,名稱,顯示公式,連結/條件式,選項,基本公式/條件公式,數值範圍,隱藏選項,文字說明
,,,@halberd,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
,,,@katana,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
,,,@main.none,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
,,,@staff,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_extra_damage/100",,,
,,,@magic_device,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_extra_damage/100",,,
,,,,,,,,
,,,#,"#mul, ""穩定率期望值""","Math.max(Math.min(1,($atk-$matk))*($stability+100)/200,Math.min(1,($matk-$atk))*($stability/2+150)/200)",,,
0,特殊加成,,,,,,,
aggro,仇恨值,%,aggro,,100,0~,,造成的仇恨值將乘上此倍率，對部分技能無效。
anticipate,看穿,%,anticipate,,,0~100,變數值為0時,當攻擊被閃躲時，可無效化此次閃躲的機率。
guard_break,破防,%,guard_break,,,0~100,變數值為0時,當攻擊被阻擋時，可無效化此次阻擋的機率。
additional_meele,物理追擊,%,additional_meele,,,0~,變數值為0時,發生物理追擊時，追擊的傷害倍率。不影響追擊發生機率。
additional_magic,魔法追擊,%,additional_magic,,,0~,變數值為0時,發生魔法追擊時，追擊的傷害倍率。不影響追擊發生機率。
physical_barrier,物理屏障,,physical_barrier,,,0~,變數值為0時,可減輕一次物理傷害，減輕量等同物理屏障值。屏障使用過一次就會失效，需等待重新展開（基礎重生時間30秒）。
magical_barrier,魔法屏障,,magical_barrier,,,0~,變數值為0時,可減輕一次魔法傷害，減輕量等同魔法屏障值。屏障使用過一次就會失效，需等待重新展開（基礎重生時間30秒）。
fractional_barrier,百分比屏障,%,fractional_barrier,,,0~,變數值為0時,可減輕一次百分比傷害，使該次傷害倍率降低百分比屏障值。屏障使用過一次就會失效，需等待重新展開（基礎重生時間30秒）。
barrier_cooldown,屏障重生速度,秒,barrier_cooldown,,3000/(100+#cvalue),0~,變數值為0時,屏障消失後，需等待多久方可重新展開。
reflect,反彈傷害,%,reflect,,,0~,變數值為0時,自身受到傷害時，依據反彈傷害倍率對攻擊者造成傷害。反彈無視防禦、受慣性、抗性影響，單次反彈傷害上限為99999，不會減輕受到的傷害。
recoil_damage,反作用傷害,%,recoil_damage,,,0~,變數值為0時,自身攻擊造成的傷害，將乘上反作用傷害比例，削減自身HP。
0,其他,,,,,,,
drop_rate,掉寶率,%,drop_rate,,(100+@luk/5)+#cvalue,0~,,掉寶率的加成。
revive_time,復活時間,秒,revive_time,,"Math.max(15,300*((100+#cvalue)/100))*((100+#tvalue)/100)",7~,,死亡後重返戰場所需的秒數，基礎值為300秒，復活時間最少為15秒。
,,,,,,,,
exp_rate,獲得EXP,%,exp_rate,,100+#cvalue,0~,變數值為0時,角色獲得的經驗值的加成。
pet_exp,寵物獲得EXP,%,pet_exp,,100+#cvalue,,變數值為0時,自己的寵物的經驗值加成。
item_cooldown,道具冷卻,秒,item_cooldown,,10+#cvalue,0~,變數值為0時,使用道具後的冷卻時間。
invincible_aid_sec,無敵急救,秒,invincible_aid_sec,,,0~,變數值為0時,使用急救後，給予自身一定時間的無敵效果。
flinch_unavailable,封印膽怯,,flinch_unavailable,,,,變數值為0時,使自身技能造成的膽怯效果無效化，並非使自身免疫敵方的膽怯。
tumble_unavailable,封印翻覆,,tumble_unavailable,,,,變數值為0時,使自身技能造成的翻覆效果無效化，並非使自身免疫敵方的翻覆。
stun_unavailable,封印昏厥,,stun_unavailable,,,,變數值為0時,使自身技能造成的昏厥效果無效化，並非使自身免疫敵方的昏厥。
0,屬性增傷,,,,,,,
element_fire,火屬性,,element_fire,,#base+@element.fire,,計算結果為0時,攻擊附帶火屬性，對地屬性目標傷害提升。部分技能不受屬性影響。
element_water,水屬性,,element_water,,#base+@element.water,,計算結果為0時,攻擊附帶水屬性，對火屬性目標傷害提升。部分技能不受屬性影響。
element_earth,地屬性,,element_earth,,#base+@element.earth,,計算結果為0時,攻擊附帶地屬性，對風屬性目標傷害提升。部分技能不受屬性影響。
element_wind,風屬性,,element_wind,,#base+@element.wind,,計算結果為0時,攻擊附帶風屬性，對水屬性目標傷害提升。部分技能不受屬性影響。
element_light,光屬性,,element_light,,#base+@element.light,,計算結果為0時,攻擊附帶光屬性，對暗屬性目標傷害提升。部分技能不受屬性影響。
element_dark,暗屬性,,element_dark,,#base+@element.dark,,計算結果為0時,攻擊附帶暗屬性，對光屬性目標傷害提升。部分技能不受屬性影響。
element_mana,魔屬性,,element_mana,,,,計算結果為0時,攻擊附帶魔屬性，可獲得等同法術剋屬額外傷害的傷害加成，但本身無法造成屬性剋制；部分技能不受屬性影響。
magic_element_against_damage,法術剋屬額外傷害,%,,,Math.floor(@int/10),,計算結果為0時,僅限傷害類型為魔法的技能，在技能屬性克制目標屬性時，除基礎的25%加成外還可獲得額外的對屬性傷害加成，與其他屬性傷害加成效果為疊加。
,,,@staff,#mul,0,,,
,,,@magic_device,#mul,0,,,
magic_element_extra_damage,法術額外屬性傷害,%,magic_stronger_against_element,#base,,,計算結果為0時,僅限主手杖/魔導具，帶有任意元素屬性（無屬性除外）的魔法攻擊，皆會獲得額外的對屬性傷害，無須屬性克制。與其他屬性傷害加成效果為疊加。
,,,@staff,"#cvalue, ""基礎INT÷10""",Math.floor(@int/10),,,
,,,@magic_device,"#cvalue, ""基礎INT÷10""",Math.floor(@int/10),,,
stronger_against_neutral,對無屬性傷害,%,stronger_against_neutral,,100,0~,變數值為0時,對無屬性目標獲得的額外傷害加成。
stronger_against_fire,對火屬性傷害,%,stronger_against_fire,,100,0~,變數值為0時,對火屬性目標獲得的額外傷害加成。
,,,#,"#cvalue, ""水屬性""",@element.water*$stronger_against_weaker_element,,,
stronger_against_water,對水屬性傷害,%,stronger_against_water,,100,0~,變數值為0時,對水屬性目標獲得的額外傷害加成。
,,,#,"#cvalue, ""風屬性""",@element.wind*$stronger_against_weaker_element,,,
stronger_against_earth,對地屬性傷害,%,stronger_against_earth,,100,0~,變數值為0時,對地屬性目標獲得的額外傷害加成。
,,,#,"#cvalue, ""火屬性""",@element.fire*$stronger_against_weaker_element,,,
stronger_against_wind,對風屬性傷害,%,stronger_against_wind,,100,0~,變數值為0時,對風屬性目標獲得的額外傷害加成。
,,,#,"#cvalue, ""地屬性""",@element.earth*$stronger_against_weaker_element,,,
stronger_against_light,對光屬性傷害,%,stronger_against_light,,100,0~,變數值為0時,對光屬性目標獲得的額外傷害加成。
,,,#,"#cvalue, ""暗屬性""",@element.dark*$stronger_against_weaker_element,,,
stronger_against_dark,對暗屬性傷害,%,stronger_against_dark,,100,0~,變數值為0時,對暗屬性目標獲得的額外傷害加成。
,,,#,"#cvalue, ""光屬性""",@element.light*$stronger_against_weaker_element,,,
stronger_against_weaker_element,對弱點屬性傷害,%,stronger_against_weaker_element,,25,,變數值為0時,
0,屬性、類型減傷,,,,,,,
neutral_resistance,受到無屬性傷害,%,neutral_resistance,,100-reduceValue(#cvalue),,變數值為0時,自身受到無屬性的傷害時，損傷會乘上此倍率。
fire_resistance,受到火屬性傷害,%,fire_resistance,,100-reduceValue(#cvalue),,變數值為0時,自身受到火屬性的傷害時，損傷會乘上此倍率。
water_resistance,受到水屬性傷害,%,water_resistance,,100-reduceValue(#cvalue),,變數值為0時,自身受到水屬性的傷害時，損傷會乘上此倍率。
earth_resistance,受到地屬性傷害,%,earth_resistance,,100-reduceValue(#cvalue),,變數值為0時,自身受到地屬性的傷害時，損傷會乘上此倍率。
wind_resistance,受到風屬性傷害,%,wind_resistance,,100-reduceValue(#cvalue),,變數值為0時,自身受到風屬性的傷害時，損傷會乘上此倍率。
light_resistance,受到光屬性傷害,%,light_resistance,,100-reduceValue(#cvalue),,變數值為0時,自身受到光屬性的傷害時，損傷會乘上此倍率。
dark_resistance,受到暗屬性傷害,%,dark_resistance,,100-reduceValue(#cvalue),,變數值為0時,自身受到暗屬性的傷害時，損傷會乘上此倍率。
,,,,,,,,
reduce_player_epicenter,範圍傷害減輕,%,reduce_player_epicenter,,,,變數值為0時,範圍傷害：以我方角色為中心的技能，警告範圍為紅色。
reduce_dmg_foe_epicenter,敵方周圍傷害減輕,%,reduce_dmg_foe_epicenter,,,,變數值為0時,敵方周圍傷害：以敵方為中心的技能，警告範圍為紅色。
reduce_dmg_straight_line,直線傷害減輕,%,reduce_dmg_straight_line,,,,變數值為0時,直線傷害：自敵方正面發出的直線狀攻擊，警告範圍為紅色。
reduce_dmg_charge,衝撞傷害減輕,%,reduce_dmg_charge,,,,變數值為0時,衝撞傷害：直線狀且敵方會沿攻擊範圍移動之技能，警告範圍為紅色。
reduce_dmg_bowling,貼地傷害減輕,%,reduce_dmg_bowling,,,,變數值為0時,貼地傷害：貼地移動之傷害，會受地形阻擋，表現形式通常為劍氣、射刃。警告範圍為藍色。
reduce_dmg_bullet,子彈傷害減輕,%,reduce_dmg_bullet,,,,變數值為0時,子彈傷害：向我方角色射出球狀投射物之技能，警告範圍為藍色。
reduce_dmg_floor,地面傷害減輕,%,reduce_dmg_floor,,,,變數值為0時,地面傷害：放置於地面上的固定傷害領域，表現形式為地刺，警告範圍為藍色。
reduce_dmg_meteor,隕石傷害減輕,%,reduce_dmg_meteor,,,,變數值為0時,隕石傷害：自空中落下之技能，表現形式為隕石，警告範圍為藍色。
reduce_explosion,爆炸減輕,%,reduce_explosion,,,,變數值為0時,爆炸傷害：警告範圍為藍色
reduce_gravity,吸引減輕,%,reduce_gravity,,,,變數值為0時,吸引傷害：會對範圍內造成持續傷害並把玩家向技能中心拉入的攻擊，表現形式為暴風、漩渦，警告範圍為藍色。
reduce_emission,放射減輕,%,reduce_emission,,,,變數值為0時,
,,,,,,,,
atk_up_str,ATK提升 (STR),,atk_up_str,,#cvalue*@str/100,,永久,
atk_up_dex,ATK提升 (DEX),,atk_up_dex,,#cvalue*@dex/100,,永久,
atk_up_int,ATK提升 (INT),,atk_up_int,,#cvalue*@int/100,,永久,
atk_up_agi,ATK提升 (AGI),,atk_up_agi,,#cvalue*@agi/100,,永久,
atk_up_vit,ATK提升 (VIT),,atk_up_vit,,#cvalue*@vit/100,,永久,
matk_up_str,MATK提升 (STR),,matk_up_str,,#cvalue*@str/100,,永久,
matk_up_dex,MATK提升 (DEX),,matk_up_dex,,#cvalue*@dex/100,,永久,
matk_up_int,MATK提升 (INT),,matk_up_int,,#cvalue*@int/100,,永久,
matk_up_agi,MATK提升 (AGI),,matk_up_agi,,#cvalue*@agi/100,,永久,
matk_up_vit,MATK提升 (VIT),,matk_up_vit,,#cvalue*@vit/100,,永久,
atk_down_str,ATK下降 (STR),,atk_down_str,,#cvalue*@str/100,,永久,
atk_down_dex,ATK下降 (DEX),,atk_down_dex,,#cvalue*@dex/100,,永久,
atk_down_int,ATK下降 (INT),,atk_down_int,,#cvalue*@int/100,,永久,
atk_down_agi,ATK下降 (AGI),,atk_down_agi,,#cvalue*@agi/100,,永久,
atk_down_vit,ATK下降 (VIT),,atk_down_vit,,#cvalue*@vit/100,,永久,
matk_down_str,MATK下降 (STR),,matk_down_str,,#cvalue*@str/100,,永久,
matk_down_dex,MATK下降 (DEX),,matk_down_dex,,#cvalue*@dex/100,,永久,
matk_down_int,MATK下降 (INT),,matk_down_int,,#cvalue*@int/100,,永久,
matk_down_agi,MATK下降 (AGI),,matk_down_agi,,#cvalue*@agi/100,,永久,
matk_down_vit,MATK下降 (VIT),,matk_down_vit,,#cvalue*@vit/100,,永久,
