名稱,屬性分類,屬性名稱,屬性值1,屬性值2
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
累積經驗！,stats,exp_rate,10%,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
